dataset,method,time,model_string,random_seed,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
hypothyroid,DecisionTree,0.011930227279663,,57302,0.051130697133543,0.9903503674888776,0.978319783197832,0.2012657100382657,0.9419638372677048,0.9736564805057956
ring,DecisionTree,0.2865874767303467,,57302,0.1714941986918673,0.9797584627419595,0.922972972972973,1.0294811489144686,0.9286439576013032,0.8644144144144145
Hill_Valley_with_noise,DecisionTree,0.087637186050415,,57302,0.5291013398696863,0.8113902856888573,0.7488207547169812,0.8519000675048672,0.5317141649559232,0.5357142857142857
magic,DecisionTree,0.2042863368988037,,57302,0.3574400333446445,0.894312297939001,0.8509839266937059,0.4740528941611406,0.8834806698394491,0.841745531019979
twonorm,DecisionTree,0.2029125690460205,,41729,0.2007931877166815,0.9741338610555188,0.9063706563706564,1.613159289640488,0.8932810430356075,0.8225225225225226
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DecisionTree,0.0887389183044433,,57302,0.6104413491627252,0.6877933823154243,0.6357142857142857,0.8514272267618798,0.4985325784940261,0.5104166666666666
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,DecisionTree,0.0029382705688476,,41729,0.5902149798600589,0.7465763040675932,0.6776785714285715,0.8099059290553698,0.5789317817573688,0.5354166666666667
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,DecisionTree,0.0032804012298583,,92067,0.6060494203334826,0.7259217798699413,0.6589285714285714,0.768677211265451,0.5327709336067141,0.5291666666666667
mofn_3_7_10,DecisionTree,0.0018911361694335,,41729,0.2155540069481014,0.9486566256315968,0.9038876889848813,0.8219921983549157,0.8710206240084611,0.8542713567839196
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,DecisionTree,0.0033936500549316,,92067,0.5724097666824689,0.760064550902405,0.6857142857142857,1.188207758092177,0.5671838890723011,0.53125
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,DecisionTree,0.0025699138641357,,41729,0.615031551156016,0.7165495654171612,0.65625,0.7637597698619594,0.5364695840011149,0.5125
german,DecisionTree,0.0034503936767578,,66580,0.4085411235520033,0.8626028552321694,0.8,1.118557662425125,0.7302039512221098,0.6866666666666666
